,user_id,song_id,listen_count,title,release,artist_name,year,song
9553,9012fdca7eee0b946329367498a578adb5271ed8,SOKTJKI12A8C143254,1,Llamado De Emergencia,Talento De Barrio,Daddy Yankee,2008,Llamado De Emergencia - Daddy Yankee
6620,cc55e399781439435a046bcb1a4c78dc2c7ec0f3,SORPVUD12A67020454,1,Otherside (Album Version),Greatest Hits,Red Hot Chili Peppers,2003,Otherside (Album Version) - Red Hot Chili Peppers
7621,8d11c46a7c926f38b505eec8e6c4ebdafd255398,SOOIQZC12A6701FEA1,2,Crossroads,The Cream Of Clapton,Cream,0,Crossroads - Cream
8853,370190e231e1d4a9353d50038f59a0a33f7168f0,SOOLKSV12AAA8C6B2A,1,Make It Mine (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz,0,Make It Mine (Album Version) - Jason Mraz
9074,cb8ed62245335312d58c97c1d5c68b4cac682afd,SOVSGXX12A58A7F991,7,Skin Is_ My,Live at Austin City Limits Music Festival 2007: Andrew Bird,Andrew Bird,0,Skin Is_ My - Andrew Bird
4769,85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOVHYVB12A3F1EC277,2,Sway (Album Version),Michael Bublé,Michael Bublé,2003,Sway (Album Version) - Michael Bublé
2722,b61afb42335287239bd40e1dea50d849cbf8a9a9,SODYQBI12A8AE48DB4,4,She's Got You High,She's Got You High,Mumm-Ra,2007,She's Got You High - Mumm-Ra
3758,884209a41deb55df792f074bccf8af1c1c31768b,SOAXEYH12AF72A2E76,1,Through The Hosiery,Crystal Castles,Crystal Castles,2008,Through The Hosiery - Crystal Castles
1646,930d2be6c85315d72cab9823ec0f7bfe7e477794,SOBTGVG12AB0187543,1,The Warrior's Code,Live on Lansdowne_ Boston MA,Dropkick Murphys,2005,The Warrior's Code - Dropkick Murphys
940,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOHTZUF12A8C13582B,1,Pork And Beans,Pork And Beans,Weezer,2008,Pork And Beans - Weezer
6142,3fef4e71c70ae99ef8a4da00e431f9cdb2b1b729,SOUACXK12A8C1437B3,17,The Weight Of Lies,Emotionalism,The Avett Brothers,2007,The Weight Of Lies - The Avett Brothers
3499,b44a7b18e5861d6b5c0094e43239191cbe5ff4e1,SORVYXQ12AB018C994,2,The Only One,Brothers,The Black Keys,2010,The Only One - The Black Keys
3941,d775b2f1e62284a3ff407b91fe53d08525f6f086,SODMDQI12A8C139C26,7,Three Cheers For Five Years,Tales Told By Dead Friends,Mayday Parade,2006,Three Cheers For Five Years - Mayday Parade
8883,ae99321be6e9a79bb9c2dd4b2aa8b49fdb9efdf8,SOXHPVI12A6D4F903A,2,It Wasn't Me,Club R&B,Shaggy / Ricardo Ducent,2000,It Wasn't Me - Shaggy / Ricardo Ducent
2451,9fba771d9731561eba47216f6fbfc0023d88641b,SOAOAWR12A58A7B7BE,1,It's Just A Thought,Pendulum,Creedence Clearwater Revival,1970,It's Just A Thought - Creedence Clearwater Revival
4809,2341121b6d6d2020303f02053dad60586e41034d,SOULTKQ12AB018A183,2,Nothin' On You [feat. Bruno Mars] (Album Version),Nothin' On You [feat. Bruno Mars],B.o.B,0,Nothin' On You [feat. Bruno Mars] (Album Version) - B.o.B
9153,33807e46640c7be38f02b6a61d7f1a4f31446b52,SOLBFZJ12A8C1445B8,1,Better in time,Just The Hits 2009,Leona Lewis,2007,Better in time - Leona Lewis
1078,f84f5b5a5c5d1d9fb4866f6488e0d2661b54c192,SOWKQYL12AB0183B15,9,Whatcha Say,Whatcha Say,Jason Derulo,2009,Whatcha Say - Jason Derulo
6299,b3de3bf6a0d2e5953d3095a58ee99fd362b97e8f,SONTYCN12A8C13D37C,1,Goons Lurkin (Explicit Album Version),The Real Testament [Deluxe],Plies,0,Goons Lurkin (Explicit Album Version) - Plies
1135,2c42e6551311710ca5a839d62058820a42ead493,SOVHCOR12AB0179D2A,1,Sin Exagerar,Residente o Visitante,Calle 13 Featuring Tego Calderón,2007,Sin Exagerar - Calle 13 Featuring Tego Calderón
6505,52df18b9b1235ac56507cb4119fc5b3f6f010dcd,SOEMVAM12AB018009E,1,Yet Another Day,"Armin Only - Imagine ""The Music",Armin van Buuren,2002,Yet Another Day - Armin van Buuren
46,bd4c6e843f00bd476847fb75c47b4fb430a06856,SOBDRND12A8C13FD08,1,Sun Hands,Gorilla Manor,Local Natives,2009,Sun Hands - Local Natives
6051,c4bcf00d005e6848a032d94f7fb212f499cdc1ba,SOFLLNJ12A6D4FA78A,1,Old Soul Song,Motion Sickness,Bright Eyes,2001,Old Soul Song - Bright Eyes
9208,22d652f8891ba2186a4ce3ee8de7c192148108ef,SOFCFSC12B0B80ACDB,6,Stay Loose,Dear Catastrophe Waitress,Belle & Sebastian,2003,Stay Loose - Belle & Sebastian
9421,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,SOQSZUU12AB01802C7,6,Baby (Album Version),What Will We Be,Devendra Banhart,2009,Baby (Album Version) - Devendra Banhart
4875,25fc0200450bbf726c8511fabe31ecfdb81732eb,SOIVOCC12A6D4F6EEC,6,The Limit To Your Love,The Reminder,Feist,0,The Limit To Your Love - Feist
2901,07caa920795cd4f20bfeeb0e192a5ddd9566ecdd,SOAJXWO12A8C1436D0,1,Fader,Fader,The Temper Trap,2009,Fader - The Temper Trap
9723,b12c786deef0e618b5f277bc337f67128f425efe,SOMCWAZ12A67ADBCE3,1,In The Waiting Line,Simple Things,Zero 7,2001,In The Waiting Line - Zero 7
796,baf47ed8da24d607e50d8684cde78b923538640f,SOFVGPP12A8C141FA6,1,Up From Below,Up From Below,Edward Sharpe & The Magnetic Zeros,2009,Up From Below - Edward Sharpe & The Magnetic Zeros
7618,8d11c46a7c926f38b505eec8e6c4ebdafd255398,SOGFVUG12AAF3B5191,8,Groundzero (Original Version),Truthead,Aghast View,1999,Groundzero (Original Version) - Aghast View
709,5a905f000fc1ff3df7ca807d57edb608863db05d,SOXDHVL12A6D4FBBE7,8,Nightly Journey,Nightly Journey,Dim Pees,0,Nightly Journey - Dim Pees
2991,15415fa2745b344bce958967c346f2a89f792f63,SOLPFNY12A8C134C25,1,Roll Over Beethoven,All The '50s Hits Vol. 1,Chuck Berry,1956,Roll Over Beethoven - Chuck Berry
7477,ec25e3d78ea8374869a772dc58bb903528a3c9cc,SOESTPV12AB01821F6,1,Tenuousness,Noble Beast,Andrew Bird,2009,Tenuousness - Andrew Bird
2567,20d0638c7ada27ac12346b0ed5ab99b39524291d,SONQGQE12A670209BC,1,Robot Rock (Soulwax Remix),Robot Rock,Daft Punk,2005,Robot Rock (Soulwax Remix) - Daft Punk
8233,645a5b400d31ce69611137da3ebd35d11d4dda4a,SOMEOFI12A6310DC2E,35,Evil Deeds,Encore,Eminem,2004,Evil Deeds - Eminem
6217,be0a4b64e9689c46e94b5a9a9c7910ee61aeb16f,SOEQJBS12A8AE475A4,2,The Funeral (Album Version),The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Band Of Horses,0,The Funeral (Album Version) - Band Of Horses
936,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOGTDJQ12A8C13324F,1,A-Punk (Album),Vampire Weekend,Vampire Weekend,2007,A-Punk (Album) - Vampire Weekend
351,5a905f000fc1ff3df7ca807d57edb608863db05d,SOAFTRR12AF72A8D4D,1,Harder Better Faster Stronger,Discovery,Daft Punk,2007,Harder Better Faster Stronger - Daft Punk
954,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOKUECJ12A6D4F6129,1,Somebody Told Me,Hot Fuss,The Killers,2004,Somebody Told Me - The Killers
5829,4d4abafb7dd7a30206747398c9225f3e06942b3f,SOVDLZN12AB0185BEA,1,Tighten Up,Tighten Up,The Black Keys,2010,Tighten Up - The Black Keys
9607,c5c7548cba9970b695f1ade5164c11a0101eb00e,SOKOTYF12A8C13F2E7,1,Too Far Gone,The All-American Rejects,The All-American Rejects,2001,Too Far Gone - The All-American Rejects
8666,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOABJBU12A8C13F63F,1,Back Against The Wall,Cage The Elephant,Cage The Elephant,2008,Back Against The Wall - Cage The Elephant
8929,0dd93f61fe69f292ac336715ef607214efb3dbaa,SODCADR12AF72A1A99,3,Whataya Want From Me,Whataya Want From Me,Adam Lambert,2009,Whataya Want From Me - Adam Lambert
4801,2341121b6d6d2020303f02053dad60586e41034d,SOAUWYT12A81C206F1,6,Undo,Vespertine Live,Björk,2001,Undo - Björk
6695,e3937c7c32f5b68422808a854a4a7a824ee448a5,SOJVPDY12AF72A1B04,1,What's In The Middle,Ray Guns Are Not Just The Future,the bird and the bee,2009,What's In The Middle - the bird and the bee
1015,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOYUPVH12A6310DBBF,1,Hollaback Girl,Love Angel Music Baby,Gwen Stefani,2004,Hollaback Girl - Gwen Stefani
5177,537340ff896dea11328910013cfe759413e1eeb3,SOUVTSM12AC468F6A7,4,Drop The World,Drop The World,Lil Wayne / Eminem,0,Drop The World - Lil Wayne / Eminem
3135,344af62cf08ea5c4ea1eb554366d221c1431f4d3,SOHXSEH12A67020A2D,1,If It's Lovin' That You Want,If It's Lovin' That You Want,Rihanna,2005,If It's Lovin' That You Want - Rihanna
9053,3fd3acaa8dfeb94b0602a33085b44ebe80545dd2,SOXDHSF12A6BD4D3BD,2,Writer's Block,Overtones,Just Jack,2006,Writer's Block - Just Jack
7689,f10e613636ee8e1f4d3a7f2b21ca9cd36d2e9d8d,SOTEGWG12AB01897AC,1,Forever,Relapse: Refill,Drake / Kanye West / Lil Wayne / Eminem,0,Forever - Drake / Kanye West / Lil Wayne / Eminem
744,5a905f000fc1ff3df7ca807d57edb608863db05d,SOZUPDR12A8C137FB6,1,42,Viva La Vida Or Death And All His Friends,Coldplay,2008,42 - Coldplay
686,5a905f000fc1ff3df7ca807d57edb608863db05d,SOVLJHG12A81C21AA0,1,Give It Up (feat. Pharrell Williams) (Amended Album Version),Give It Up,Twista featuring Pharrell Williams,2007,Give It Up (feat. Pharrell Williams) (Amended Album Version) - Twista featuring Pharrell Williams
5059,dfb41c400ed8fbb064644d173f8fd00398ca4370,SOTFTTK12A8C12FC79,5,Sugar Sugar,Original Hits - Number 1s,The Archies,1969,Sugar Sugar - The Archies
677,5a905f000fc1ff3df7ca807d57edb608863db05d,SOVBJIV12A81C22366,1,Cliquot,The Flying Club Cup,Beirut,2007,Cliquot - Beirut
4335,5e161b9e14f303a0cef2d3f44d07dd946549f89f,SOARUPP12AB01842E0,1,Up Up & Away,Man On The Moon: The End Of Day,Kid Cudi,2009,Up Up & Away - Kid Cudi
6869,9c2032efba612bccec98435a3928b67d69350bed,SOAIUPE12AB0185750,1,Children's Story,Def Jam 25: Volume 2 -  DJ Bring That Back (1996-1984),Slick Rick,1988,Children's Story - Slick Rick
8681,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOBWSGV12AB018B5E0,2,Naturally,Kiss & Tell,Selena Gomez & The Scene,2009,Naturally - Selena Gomez & The Scene
8326,fe76c9d535c5834e4a9b91c13e29be6460cb79c4,SOPZFOA12A8C13849F,1,I'll Stick Around,Foo Fighters,Foo Fighters,1992,I'll Stick Around - Foo Fighters
1719,ca80fbb6d0deb3cae53763099e2cae7306f005ec,SOCYPCR12A6701FA95,4,The Memory Of Trees (Instrumental),The Memory Of Trees,Enya,1995,The Memory Of Trees (Instrumental) - Enya
1498,484b69dd013df1ec0cfd504886d4f647cb32b08f,SOAJXWO12A8C1436D0,1,Fader,Fader,The Temper Trap,2009,Fader - The Temper Trap
5331,6ac64072cb8f308f36c64cc4aafb6021fef70476,SOQBMFK12A8C13835B,1,Found Home,End Of The Millenium,59 Times the Pain,1999,Found Home - 59 Times the Pain
5550,1b704d4cddabea8258bd93497fcb73eab32fa592,SODCTEP12A58A7E312,1,Easier To Run (Album Version),Meteora,Linkin Park,2003,Easier To Run (Album Version) - Linkin Park
7483,ec25e3d78ea8374869a772dc58bb903528a3c9cc,SOFVZRE12A8C139783,1,Far Away (Album Version),All The Right Reasons,Nickelback,2006,Far Away (Album Version) - Nickelback
341,d6589314c0a9bcbca4fee0c93b14bc402363afea,SOULTKQ12AB018A183,3,Nothin' On You [feat. Bruno Mars] (Album Version),Nothin' On You [feat. Bruno Mars],B.o.B,0,Nothin' On You [feat. Bruno Mars] (Album Version) - B.o.B
312,d6589314c0a9bcbca4fee0c93b14bc402363afea,SOEQJBS12A8AE475A4,6,The Funeral (Album Version),The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Band Of Horses,0,The Funeral (Album Version) - Band Of Horses
2856,3ff7a31452eeabd7a4e07f0d243c674e3d0adf46,SOSHVEI12AF729AF6B,1,Boys Boys Boys,The Fame Monster,Lady GaGa,2008,Boys Boys Boys - Lady GaGa
9604,c5c7548cba9970b695f1ade5164c11a0101eb00e,SOFPPNM12AB01852A3,1,Girlfriend (Radio Edit),Sounds of Vancouver 2010: Closing Ceremony Commemorative Album,Avril Lavigne,2007,Girlfriend (Radio Edit) - Avril Lavigne
5332,6ac64072cb8f308f36c64cc4aafb6021fef70476,SOQTPLM12B0B809575,1,Strange Times,Strange Times,The Black Keys,2008,Strange Times - The Black Keys
7547,53ba380d234fd6022818340983570354ee207f6b,SOJSZKL12A8C13A691,1,Communist Daughter,In The Aeroplane Over The Sea,Neutral Milk Hotel,1998,Communist Daughter - Neutral Milk Hotel
3394,4b73abafd2a8309c29695ce368bbf17ab32f3d3a,SOOMOCL12A8C1334B2,1,Que dira el santo padre,A Tribute to Che Guevara - Hasta Siempre!,Violeta Parra,0,Que dira el santo padre - Violeta Parra
3763,884209a41deb55df792f074bccf8af1c1c31768b,SOBQODG12A8C13ECFF,4,Alice Practise,Camden Crawl 2008,Crystal Castles,0,Alice Practise - Crystal Castles
5133,f608c215606e6421a429ea28ad08243241d5347d,SOYNJLU12AB0187967,3,Camisado [Live In Chicago],Live In Chicago,Panic At The Disco,0,Camisado [Live In Chicago] - Panic At The Disco
1449,ee03697dfdf668a9cd19a44a6f257b9d6a1dc60a,SODLAPJ12A8C142002,2,Mia,First Love,Emmy The Great,2007,Mia - Emmy The Great
2680,ea07020bb223c733ccc55aa925ebcc25c4d97377,SORLZXM12A67ADAEF5,4,Buttons,PCD,The Pussycat Dolls,2005,Buttons - The Pussycat Dolls
7265,e188e309e19e0847a05156d6efecc04e4bff4fc7,SOCKJVP12A6D4F920C,9,Epic,The Real Thing,Faith No More,1989,Epic - Faith No More
7908,9c4e14bbd043846b632d3737f08104dcaeb88142,SOJSXJY12A8C13E32E,1,Clara meets Slope - Hard To Say,All I Can Provide,Clara Hill,2006,Clara meets Slope - Hard To Say - Clara Hill
4602,2475b003df9c084c1488b2e63666e8cc87112180,SOOXLND12A6D4FE36E,1,Go Your Own Way (LP Version),Greatest Hits,Fleetwood Mac,1971,Go Your Own Way (LP Version) - Fleetwood Mac
9259,22d652f8891ba2186a4ce3ee8de7c192148108ef,SOZEWTE12AB018F087,6,Blue Blood,Total Life Forever,Foals,2010,Blue Blood - Foals
458,5a905f000fc1ff3df7ca807d57edb608863db05d,SOGZQHS12A8C137A12,1,My Girl Is Calling Me a Liar,Fancy Footwork,Chromeo,2007,My Girl Is Calling Me a Liar - Chromeo
8731,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOKEUYU12A67ADF7E6,2,The Sea,Parts Of The Process,Morcheeba,1998,The Sea - Morcheeba
6369,f17b1b6f0e2dd48d2d0ffde4db7c5b385b8ec253,SOBQODG12A8C13ECFF,1,Alice Practise,Camden Crawl 2008,Crystal Castles,0,Alice Practise - Crystal Castles
5051,dfb41c400ed8fbb064644d173f8fd00398ca4370,SOCMEJM12AF72A48D0,3,Dreamlover,#1's,Mariah Carey,1993,Dreamlover - Mariah Carey
924,bd8475385f0aa78830fa6dfce9e7242164b035c8,SOEQLJP12AB018FBC5,1,Teenager,Modapop,Camera Obscura,0,Teenager - Camera Obscura
4437,18dc95f354220b343e98ebbb7c8564291284ed9f,SOHWNCK12A67020845,1,Used To Love Her,G N' R Lies,Guns N' Roses,1988,Used To Love Her - Guns N' Roses
9570,9012fdca7eee0b946329367498a578adb5271ed8,SOQWYAQ12A6D4FB9A3,1,Take A Bow,Ultimate R&B Love 2009,Rihanna,2008,Take A Bow - Rihanna
7628,1645b689f873529ab85e3b72742be44813e82bd3,SOIJHHU12AF7299A88,1,Supposed To Be,Sing-A-Longs & Lullabies For The Film Curious George,Jack Johnson,2006,Supposed To Be - Jack Johnson
3390,4b73abafd2a8309c29695ce368bbf17ab32f3d3a,SOHLLRP12A6701F2F4,3,Under The Bridge (Album Version),Blood Sugar Sex Magik,Red Hot Chili Peppers,1991,Under The Bridge (Album Version) - Red Hot Chili Peppers
3837,884209a41deb55df792f074bccf8af1c1c31768b,SOLYQKS12A6D4FA42B,9,Passenger (LP Version),White Pony,Deftones,2000,Passenger (LP Version) - Deftones
6482,c6c57f27fed3cf897daa4f830a0e2a17e65ba77d,SOLIPLG12A58A7A354,3,Ding dong song (Lounge),Pleasure Man,Gunther & the Sunshine Girls,0,Ding dong song (Lounge) - Gunther & the Sunshine Girls
4670,85952991b8e3ca5803a08b0b2f9c6d71abf9bb5b,SOFGJCW12AF72A812D,2,Already Gone,All I Ever Wanted,Kelly Clarkson,2009,Already Gone - Kelly Clarkson
3174,2f343c8bd0502c4cf851a6970e47d296a4b76d5b,SOBLEMV127D978257F,1,Lullaby,Waking Up,OneRepublic,2009,Lullaby - OneRepublic
5083,eda12b54342243175dba3db83f66eade127d2b4e,SOYXNXN12A8C131F3D,1,Live High (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz,0,Live High (Album Version) - Jason Mraz
4815,e96e052152a7e29bcfd4b841859c66249f280303,SOYLYFL12A8AE45FA4,1,True Love Ways,The Worth It Collection,Buddy Holly,1960,True Love Ways - Buddy Holly
1195,a58de017cbeda1763ea002fe027ed41b4ed53109,SODCFRT12AF72A2C2C,6,Dental Care,Ocean Eyes,Owl City,2009,Dental Care - Owl City
1074,f84f5b5a5c5d1d9fb4866f6488e0d2661b54c192,SORMGEO12A8C14406D,5,Rock And Roll All Nite,Greatest Kiss,Kiss,0,Rock And Roll All Nite - Kiss
6449,116a4c95d63623a967edf2f3456c90ebbf964e6f,SORJLZX12A5891F7A5,1,Toxicity,Toxicity,System of a Down,2001,Toxicity - System of a Down
2123,732f88be38fae217f8ab7e24c20dd072436e3e40,SOTRBGU12A58A7C0DA,1,Don't Know What You Got (Till It's Gone),True Rock (3 CD Set),Cinderella,0,Don't Know What You Got (Till It's Gone) - Cinderella
4396,8bc2733e75989c8de36cf1bb596dabfd72734e86,SOIEBXT12A8C1341E1,2,Piano Concerto No. 2 in G minor Op. 22 (2006 Digital Remaster): III.  Presto,Rachmaninov_ Piano Concerto No.3/ Saint-Saëns_ Piano Concerto No.2,Emil Gilels/Orchestre de la Société des Concerts du Conservatoire/André Cluytens,0,Piano Concerto No. 2 in G minor Op. 22 (2006 Digital Remaster): III.  Presto - Emil Gilels/Orchestre de la Société des Concerts du Conservatoire/André Cluytens
7245,28b232e7ecb32c47c05b795a017786d4be96ef7e,SOYRYJW12AB0187A89,2,El Justiciero,Sangre,Shotta,2008,El Justiciero - Shotta
7313,94d5bdc37683950e90c56c9b32721edb5d347600,SOFVHOX12A8C13E68E,1,Midnight Special,Willy And The Poor Boys,Creedence Clearwater Revival,2008,Midnight Special - Creedence Clearwater Revival
8241,645a5b400d31ce69611137da3ebd35d11d4dda4a,SOVNPBK12A6D4F6A67,3,Lights Of Ayodhya,Future Tribe,Yulara,2000,Lights Of Ayodhya - Yulara
47,bd4c6e843f00bd476847fb75c47b4fb430a06856,SOCHBAJ12AAF3B3A4F,1,Camera Talk,Camera Talk,Local Natives,2009,Camera Talk - Local Natives
3198,2f343c8bd0502c4cf851a6970e47d296a4b76d5b,SOQYLUM12A58A7CB55,1,Things,The Winter of Mixed Drinks,Frightened Rabbit,2010,Things - Frightened Rabbit
3843,884209a41deb55df792f074bccf8af1c1c31768b,SOMNXML12A6D4F8386,1,One More Time (Short Radio Edit),Musique Vol 1,Daft Punk,2000,One More Time (Short Radio Edit) - Daft Punk
1553,ff4322e94814d3c7895d07e6f94139b092862611,SOIBLPH12A58A77AC1,3,Achy Breaky Heart,Country Classics,Billy Ray Cyrus,1992,Achy Breaky Heart - Billy Ray Cyrus
2424,01655ae6bc52e29c9cd100a7dde4e9eeae5e4031,SOPOFBW12AB0187196,2,Saturdays,Bright Like Neon Love,Cut Copy,2004,Saturdays - Cut Copy
7740,390c2e81bc9cf885608a0891c0a7eb13f1fd3336,SONQCXC12A6D4F6A37,1,Strut (1993 Digital Remaster),The World Of Sheena Easton - The Singles,Sheena Easton,0,Strut (1993 Digital Remaster) - Sheena Easton
8756,c24ec42f0e449ff39a95a01f0795f833b898f71b,SONYKOW12AB01849C9,3,Secrets,Waking Up,OneRepublic,2009,Secrets - OneRepublic
3463,b44a7b18e5861d6b5c0094e43239191cbe5ff4e1,SOBXTNN12A6D4F6B48,1,Good Man,House M.D. (Original Television Soundtrack),Josh Ritter,2006,Good Man - Josh Ritter
3068,95942345306393998eb3a051ae5fa3c4d5afbaa4,SOKUPEJ12A6D4FB6F2,1,Xxplosive,2001 Instrumental,Dr. Dre,1999,Xxplosive - Dr. Dre
3173,2f343c8bd0502c4cf851a6970e47d296a4b76d5b,SOBKMNJ12AF729BCA3,1,Missing Persons 1 & 2,Waking Up,OneRepublic,2009,Missing Persons 1 & 2 - OneRepublic
9192,1b96dd04ce96aa7995e0f817e762ca44a24aab24,SOSDBDE12A6D4F9CFB,1,Girl Next Door,Aijuswannasing,Musiq / Ayana,2001,Girl Next Door - Musiq / Ayana
3011,66166f4f57bb897f1f8e2aae6f53f776088f43d8,SOBGDPS12A8C13C214,5,I Don't Wanna Walk Around With You  (Remastered Album Version ),Ramones: Expanded And Remastered,Ramones,0,I Don't Wanna Walk Around With You  (Remastered Album Version ) - Ramones
1032,0afaa5d9d04bf85af720fe8cc566a41ca3e41c97,SOPVJNI12A81C219B9,1,All My Loving,Across The Universe,Jim Sturgess,2007,All My Loving - Jim Sturgess
5952,adbd40c4f3fe78e7f49f491ea04859ea07de1ed1,SOEBJYK12A8C143962,2,Maundy Thursday,No Way Down,Air France,2008,Maundy Thursday - Air France
8959,0dd93f61fe69f292ac336715ef607214efb3dbaa,SOSCIZP12AB0181D2F,2,Alejandro,The Fame Monster,Lady GaGa,2009,Alejandro - Lady GaGa
9488,57e32b0cf88d1e3344dab420971ba46d08dd34bd,SOWAGYW12A67020A3A,1,The Way You Lived,An Ånswer Can Be Found,CKY,2005,The Way You Lived - CKY
547,5a905f000fc1ff3df7ca807d57edb608863db05d,SOMVMVF12AB018C9A6,1,Unknown Brother,Brothers,The Black Keys,2010,Unknown Brother - The Black Keys
4889,25fc0200450bbf726c8511fabe31ecfdb81732eb,SORMUIW12A6D4F4CBA,1,Lived In Bars,The Greatest,Cat Power,2005,Lived In Bars - Cat Power
5597,1b704d4cddabea8258bd93497fcb73eab32fa592,SOLSCKU12A6D4F48F9,2,Easy girls (acoustic clubbing),Best Of,Les Négresses Vertes,2002,Easy girls (acoustic clubbing) - Les Négresses Vertes
1572,d66f2f66f2bdc9aa3d0362a35fc91ccc844101f7,SOKPPTX12A58A7CA1E,3,Daydream,Progression Progressed (The Remixes),Markus Schulz,0,Daydream - Markus Schulz
6576,8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOKZICY12A6310DF57,1,Always,blink-182,Blink-182,2003,Always - Blink-182
870,169f9f4c68b62d1887c7c0ac99d10a79cfca5daf,SODLLYS12A8C13A96B,1,Breakeven,Now That's What I Call Music! 72,The Script,2008,Breakeven - The Script
8442,25c6bc04a88cda0dfcbb71d8f9d1f30b8fd641c8,SOGAUOB12A58A7AAC8,5,Esperame,Accion Directa,Barricada,0,Esperame - Barricada
9358,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,SOFJAJP12AB0181E62,10,Soft Shock,It's Blitz!,Yeah Yeah Yeahs,2009,Soft Shock - Yeah Yeah Yeahs
6566,8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOHIKCR12AF72AAD2E,1,All This Time,Waking Up,OneRepublic,2009,All This Time - OneRepublic
330,d6589314c0a9bcbca4fee0c93b14bc402363afea,SOPSOHT12A67AE0235,14,Almaz,Every Kind Of Mood,Randy Crawford,1986,Almaz - Randy Crawford
6447,116a4c95d63623a967edf2f3456c90ebbf964e6f,SOQZOMP12A6D4FD39D,1,Dear God (Album Version),Dear God,Avenged Sevenfold,2007,Dear God (Album Version) - Avenged Sevenfold
3543,bd64f193f0f53f09d44ff48fd52830ff2fded392,SONOYIB12A81C1F88C,1,I Kissed A Girl,One Of The Boys (iTunes Exclusive),Katy Perry,2008,I Kissed A Girl - Katy Perry
8909,672a1973a091e8ed8f4d46e3a740621f5fa4176c,SOQGOHE12A8C143075,1,Shelf,A Little Bit Longer,Jonas Brothers,2008,Shelf - Jonas Brothers
3089,95942345306393998eb3a051ae5fa3c4d5afbaa4,SOPEAMI12A6701E94B,7,Stay Away,Stay Away,Nirvana,0,Stay Away - Nirvana
8577,f6f0022738877d8b6627093f094b71fac8dae523,SOGCRXY12A8C1439FC,1,Mrs. Officer,Tha Carter III,Lil Wayne / Bobby Valentino / Kidd Kidd,0,Mrs. Officer - Lil Wayne / Bobby Valentino / Kidd Kidd
2445,01655ae6bc52e29c9cd100a7dde4e9eeae5e4031,SOXFSVU12A8C13C6F2,1,You Picked Me,One Cell In The Sea,A Fine Frenzy,2007,You Picked Me - A Fine Frenzy
3811,884209a41deb55df792f074bccf8af1c1c31768b,SOIJPQV12A6701F959,1,A Dream,Bright Like Neon Love,Cut Copy,2004,A Dream - Cut Copy
1713,ca80fbb6d0deb3cae53763099e2cae7306f005ec,SOBIXFH12A6D4F7823,7,Boadicea,Paint The Sky With Stars,Enya,1987,Boadicea - Enya
3187,2f343c8bd0502c4cf851a6970e47d296a4b76d5b,SOMDMPA12AB01849DC,1,Waking Up,Waking Up,OneRepublic,2009,Waking Up - OneRepublic
5024,e21477efb83bd323205ce6f5bd662f3df9d477e5,SOXGIWN12A6310E0D8,2,The Wild Boys,Greatest,Duran Duran,1984,The Wild Boys - Duran Duran
8333,fe76c9d535c5834e4a9b91c13e29be6460cb79c4,SORYLNP12A8C13C3E7,2,Lump Sum,For Emma_ Forever Ago,Bon Iver,2007,Lump Sum - Bon Iver
2609,7e2b716907a9a295d92c2f35d7e260aeee2b32cf,SOMNGMO12A6702187E,2,DARE,Demon Days,Gorillaz,2005,DARE - Gorillaz
8782,c24ec42f0e449ff39a95a01f0795f833b898f71b,SOROOFM12A8AE48536,2,Forever,Forever,Chris Brown,0,Forever - Chris Brown
4806,2341121b6d6d2020303f02053dad60586e41034d,SOQCGHN12AB0181246,8,Sayonara-Nostalgia,Yuugata Generation,Base Ball Bear,2005,Sayonara-Nostalgia - Base Ball Bear
7405,7602b1490de8e5ce87ac674643a99d8a569d79f0,SOUKMKR12A8C141925,1,The Climb,Hannah Montana The Movie,Miley Cyrus,2009,The Climb - Miley Cyrus
5197,4691b4c353503da2c108e372ff056a9ac847c4d1,SOCVMXL12A6D4F6EE7,16,One And Only,The Emancipation of Mimi,Mariah Carey / Twista,2005,One And Only - Mariah Carey / Twista
5565,1b704d4cddabea8258bd93497fcb73eab32fa592,SOGEBLH12A8C13FCBF,1,Spiral Static,Plug In Baby,Muse,0,Spiral Static - Muse
7516,ec25e3d78ea8374869a772dc58bb903528a3c9cc,SOPTLQL12AB018D56F,10,Billionaire [feat. Bruno Mars]  (Explicit Album Version),Billionaire [feat. Bruno Mars],Travie McCoy,0,Billionaire [feat. Bruno Mars]  (Explicit Album Version) - Travie McCoy
